
	1	У хворої після підняття важкої сумки раптово з’явився гострий біль у попереку. Рухи в хребті обмежені. Не викликається ахілловий рефлекс зліва, з’явилась анестезія больової чутливості на зовнішній поверхні лівої гомілки. Яке захворювання запідозрите?
A	*Метопролол
B	Клофелін
C	Дибазол
D	Ніфедипін
E	Еналаприл


 	159	У Хворої 65 років після фізичного навантаження, з’явились різка задуха, виник приступ ядухи. Об-но: ЧСС 120 в хв., АТ 200/120 мм Hg, ЧД 34за хв. Cor-тони глухі, систолічний шум на верхівці. Дихання везикулярне, ослаблене, вологі різнокаліберні хрипи. Яка з наведених схем є найбільш доцільною?
A	*Лазикс, нітрогліцерин внутрішньовенно
B	АТФ, лазикс внутрішньовенно
C	Строфантин, лазикс   внутрішньовенно
D	Морфін,строфантин   внутрішньовенно
E	Еуфілін, дибазол   внутрішньовенно


 	160	Хворий скаржиться на важкість та розпирання в епігастрії після вживання їжі, відрижку повітрям, схильність до проносів. В аналізі шлункового вмісту вільна хлористоводнева кислота відсутня в усіх порціях. ФГДС: вогнищеве витончення слизової оболонки, колір блідий, багато слизу. Який діагноз є найбільш ймовірним у даного хворого?
A	*Хронічний гастрит тип А
B	Хронічний гастрит тип В.
C	Хронічний гастрит тип С.
D	Виразкова хвороба шлунка.
E	Функціональна диспепсія.


 	161	Хворий страждає на виразкову хворобу шлунка більше 15 років, неодноразово лікувався з приводу загострень. Упродовж року відмічає відчуття важкості у шлунку, відрижку з неприємним запахом. За останні три дні декілька раз було блювання з’їденою неперевареною їжею. Який з наведених методів дослідження є найбільш інформативним для верифікації діагнозу?
A	*Рентгенологічне дослідження
B	Ультрозвукове дослідження
C	рН-метрія.
D	Багатоетапне дуоденальне зондування.
E	Дослідження на наявність Helicobacter pуlori.


 	162	Жінка відмічає загальну та м’язову слабкість, задишку, запаморочення, ламкість волосся та нігтів, бажання їсти крейду. В анамнезі – фіброміома матки. ЗАК: Ер. 2,8 Т\л, гемоглобін 80 г/л, кольоровий показник 0,78, анізоцитоз, пойкілоцитоз, сироваткове залізо - 10 мкмоль/л. Який діагноз є найбільш ймовірним у даного хворого?
A	*Залізодефіцитна анемія
B	В12- дефіцитна анемія
C	Аутоімунна-гемолітична анемія
D	Апластична анемія
E	Гіпопластична анемія


 	163	Хвора скаржиться на поганий апетит, схуднення. Шкірні покриви бліді з жовтушним відтінком. В аналізі шлункового вмісту вільна соляна кислота відсутня в усіх порціях. При морфологічному дослідженні: виражена лімфоцитарна інфільтрація з формуванням фолікулів, атрофія слизової оболонки дна шлунка. Виникнення якої анемії є найбільш ймовірним у хворої?
A	*В12- дефіцитної анемія  *
B	Залізодефіцитної анемія
C	Постгеморагічної анемія
D	Апластична анемія
E	Аутоімунна гемолітична анемія.


 	164	Хворий скаржиться на втрату апетиту, почуття важкості в надчерев’ї. Шкіра бліда жовтушна, язик малинового кольору, гладкий, блискучий, при пальпації біль в надчерев’ї. ЗАК: Ер. 2,5х1012/л, Нв-96 г/л, К.п. 1,2, Л. 2,9х109/л, ШОЕ-30 мм/г.,  спостерігаються тільця Жоллі, кільця Кебота. ФГДС: слизова оболонка шлунку атрофічна. Який діагноз є найбільш імовірним у даного хворого?
A	*В12-дефіцитна анемія
B	Залізодефіцитна анемія
C	Постгеморагічна анемія
D	Апластична анемія
E	Аутоімунна гемолітична анемія


 	165	У хворого після прийому бісептолу з'явилась олігурія, жовтяниця з вираженою блідістю шкіри та слизових оболонок, збільшилась селезінка,. ЗАК: Ер.-2,2х1012/л, Нв-60 г/л, К.п. 0,62, Le-14х109/л, ретикулоцити 24 ‰. Непрямий білірубін в сироватці крові 35 мкмоль/л. Сеча та кал темного кольору, підвищений рівень стеркобіліну. Який діагноз є найбільш ймовірним у даного хворого?
A	*Гемолітична анемія
B	Токсичний гепатит
C	Гострий лейкоз
D	Апластична анемія
E	Обтураційна жовтяниця


 	166	Хвора Н., 32 р., скаржиться на біль в епігастрії, що виникає вночі і зранку натще, та через 2 год. після прийому їжі, блювоту „кавовою гущею”, печію, періодичні запаморочення, загальну слабкість. Об-но: болючість в гастродуоденальній зоні, позитивний с-м Менделя. ЗАК: Нв - 90 г/л; Le - 8,0х109/л; ШЗЕ-20 мм/год;  Чим ускладнився перебіг захворювання?
A	*Шлунково-кишкова кровотеча.
B	Пенетрація.
C	Перфорація.
D	Стеноз.
E	Малігнізація.


 	167	Хв. П., 57 р. Скарги на відчуття важкості, розпирання, ниючий біль в епігастрії після вживання їжі, відрижку повітрям, відсутність апетиту, схильність до проносів, загальну слабість. Об-но: живіт м’який, болючий в епігастрії. Кал рідкий, без домішок. ЕФГДС: слизова оболонка шлунка бліда, з ділянками гіперемії, стоншена. Морфологічно: лімфоцитарна інфільтрація з формуванням фолікулів, атрофія слизової оболонки дна шлунка. Найбільш ймовірний діагноз?
A	*Хронічний гастрит типу А
B	Хронічний гастрит типу В
C	Хронічний гастрит типу С
D	Рак шлунка
E	Хвороба Менетріє


 	168	Хвора М., 22 років з підозрою на системний червоний вовчак  скаржиться на “летючий” біль в суглобах рук і ніг,  підвищення температури до 38,5-39°С впродовж 3-х тижнів, задишку, серцебиття, слабкість. Об-но: еритема на щоках та носі. У крові: Нв 90 г/л, тромбоцити 135х109  ШОЕ - 43 мм/год. У сечі: білок - 2,66 г/л, еритроцитів - 8-10 в п/з. виявлення яких антитіл у хворої найбільша значима для постановки діагнозу?
A	*До нативної ДНК.
B	До тромбоцитів.
C	До фосфоліпідів.
D	Ревматоїдний фактор.
E	Кріоглобуліни.


 	169	Хворий В., 57 р. скаржиться на загальну слабкість, запаморочення, задишку, печію язику. Об-но: шкіра бліда, склери субіктеричні. Тони серця глухі, систолічний шум на верхівці. ЧСС – 110/хв. Язик червоний, гладкий. В крові: ер. – 2,7*1012/л, Нв – 100 г/л,  к.п. – 1,4;  Le – 4,2*109/л; ільця Жоллі, пойкілоцитоз, ШЗЕ – 20 мм/год., білірубін – 28 мкмоль/л. ЕФГДС: атрофічний гастрит. Призначення якого з наведених препаратів є найбільш доцільним в даному випадку?
A	*Ціанокобаламін
B	Фероплекс
C	Преднізолон
D	Глоберон
E	Вітамін В-6

 	170	Хвора Р., 59 р., поступила в ревматологічне відділення з підозрою на склеродермію у дуже важкому стані. Об-но: зниженого відживлення, спостерігається „маскоподібність” обличчя, остеоліз нігтьових фаланг  пальців. В крові – ер. – 2,2 *109/л, ШЗЕ – 40 мм/год. В сечі – підвищення рівня вільного оксипроліну. Однією з найбільш ймовірних ланок патогенезу є:
A	*Поява антитіл до колагену.
B	Утворення антитіл до нативної ДНК.
C	Утворення антитіл до формених елементів крові.
D	Утворення антитіл до поперечносмугастої мускулатури.
E	Утворення антитіл до судинної стінки.


 	171	Хв. П., 42 р. Скарги на біль в попереку, потемніння сечі, загальну слабкість, запаморочення, що виникли після лікування застуди аспірином та ампіциліном. Об-но: блідий, склери субіктеричні. ЧСС - 98/хв. Печінка +2 см, селезінка +3 см. ЗАК: ер. - 2,6*1012/л, Нв – 60 г/л, к.п. - 0,9, Le – 9,4*109/л, б - 0,5%, е - 3%, п – 6%, л - 25%, м – 7%, ШЗЕ – 38 мм/год, ретикулоцити – 24%. Біохімічний аналіз крові: заг. білірубін – 38	ммоль/л, прямий, непрямий. Яке ускладнення виникло у хворого?
A	*Набута гемолітична анемія.
B	Токсичний гепатит.
C	Жовчнокам’яна хвороба.
D	Агранулоцитоз.
E	Пароксизмальна нічна гемоглобулінурія


 	172	Жінка 35 років скаржиться на загальну слабкість, роздратованість, сухість шкіри, ламкість  нігтів, випадіння волосся. Об-но: шкіра та видимі слизові бліді, Ps - 96/хв., АД - 100/60	мм.рт.ст. У крові: Hb - 70 г/л, ер. - 3,4*1012/л, КП - 0,7, рет. - 2%, Le - 4,7*109/л, е - 2%, п -  3%, с - 64%, л - 26%, м - 5%, ШЗЕ - 15 мм/хв. Сироваткове залізо - 7,3 мкмоль/л, загальний білок - 70 г/л. Дефіцит якого із факторів зумовив виникнення захворювання?
A	* Заліза
B	Вітаміну В6C	Вітаміну В12D	Кобальту
E	Фолієвої кислоти


 	173	У хворого М., 50 р., відмічається задишка при фізичному навантаженні, періодична втрата свідомості. Аускультативно – систолічний шум в ІІІ міжребер‘ї зліва від грудини. При УЗД серця – симетрична гіпертрофія ЛШ, його діастолічна дисфункція з деяким зменшенням порожнини. Спостерігається передньо-систолічний рух передньої стулки мітрального клапану. Яка патологія у хворого?
A	* Гіпертрофічна кардіоміопатія
B	Рестриктивна кардіоміопатія
C	Дилятаційна кардіоміопатія
D	Постінфарктний міокардіосклероз
E	Стеноз вустя аорти


 	174	Хворий М., 55 р., відмічає задишку при невеликому фізичному навантаженні та в спокої, набряки гомілок ввечері. Пульс 90 на хв, ритмічний, АТ 130/90 мм рт. ст. І тон послаблений на верхівці, ІІ тон акцентований на легеневій артерії. При ультразвуковому дослідженні: КДО 190 см3, КСО 120 см3, фракція викиду 37%, ліве передсердя – 39 мм. Дайте оцінку патологічних змін з боку серця?
A	* Систолічна дисфункція лівого шлуночка
B	Діастолічна дисфункція лівого шлуночка
C	Змішана дисфункція лівого шлуночка
D	Гіпертрофія лівого шлуночка
E	Дилатація лівого передсердя


 	175	Хворий М., 21 р., скаржиться на задишку при  фізичному навантаженні, що супроводжується приступоподібним сухим кашлем. Об‘єктивно виявлено розширення судинного пучка легеневої артерії. Аускультативно визначається грубий систолічний шум  в 4-му міжребір‘ї біля грудини зліва (у пахвинну ділянку не проводиться); акцент ІІ т. на легеневій артерії. При УЗД перерва ехосигналу міжшлуночкової перетинки. Ваш діагноз?
A	* Дефект міжшлуночкової перетинки
B	Дефект міжпередсердної перетинки
C	Недостатність трикуспідального клапану
D	Стеноз вустя аорти
E	Стеноз легеневої артерії


 	176	У хворого при фізичному навантаженні раптово виникли різкі болі в правій половині грудної клітки та задишка. При об’єктивному обстеженні виявлено: вимушене положення у ліжку напівсидячи, дифузний ціаноз, тахіпное 38/хв у спокої, права половина грудної клітки збільшена в об’ємі, не приймає участі в акті дихання, перкуторний звук над правою половиною грудної клітки тимпанічний, дихання відсутнє. Який ймовірний діагноз у пацієнта?
A	* Спонтанний пневмоторакс
B	 гемоторакс
C	 дольова пневмонія
D	Тромбоемболія легеневої артерії
E	Гострий плеврит


 	177	У хворого 34 років на 3 добу лікування гострого отиту цефтріаксоном у добовій дозі 2	грами з’явився рідкий стілець 5-6 разів на добу. Калові маси без домішок крові, слизу. Температура тіла 36,60С. Реакція Грегерсена негативна. Бактеріологічне дослідження калу  не виявило патогенних мікроорганізмів. Яка найбільш характерна причина діареї?
A	* Антибіотикоасоційована діарея
B	Дисбіоз кишківника
C	Синдром надмірного бактеріального росту
D	Виразковий коліт
E	Хвороба Крона


 	178	Хворий К.,16 років, скаржиться на задишку в спокої, набряки ніг. Ціаноз обличчя, шиї. На обліку у кардіолога з приводу вродженої вади серця. Права межа відносної серцевої тупості в ІV межребір’ї на 2 см зовні від края грудини, систолічне тремтіння та грубий пансистолічний шум в ІІ міжеребір’ї ліворуч, в ІV точці – зникаючий голосистолічний шум. Яка вроджена вада серця має місце у хворого?
A	* Вроджений стеноз легеневої артерії
B	Недостатність тристулкового клапана
C	Дефект міжпередсердної перетинки
D	Дефект міжшлуночкової перетинки
E	Незрощення Баталлова протока


 	179	У хворого з стабільною стенокардією напруги ІІ функціонального класу в останні кілька днів значно збільшилась кількість больових нападів, з’явилися больові напади у спокої, знизилась толерантність до фізичного навантаження, збільшилась потреба у нітрогліцерині. В даній клінічній ситуації найбільш виправданим буде слідуючий діагноз.
A	* ІХС, прогресуюча стенокардія напруги та спокою
B	ІХС, гострий інфаркт міокарда
C	ІХС, вперше виникла стенокардія
D	НЦД з кадріальним синдромом
E	ІХС: стабільна стенокардія, ІІІ функціональний клас


 	180	У дівчини 16 років при диспансерному огляді виявлений гучний інтенсивний систолічний шум над усією серцевою ділянкою з епіцентром в ІІІ–ІV міжребер’ї зліва від груднини та систолічне тремтіння; ІІ-й тон над легеневою артерією посиленої гучності. АТ 120/70 мм рт.ст. Скарг немає.  При рентгенологічному дослідженні розміри і форма серцевої тіні не змінені. Який найімовірніший діагноз?
A	* Дефект міжшлуночкової перетинки.
B	Дефект міжпередсердної перетинки.
C	Відкрита артеріальна протока.
D	Стеноз гирла легеневої артерії.
E	Коарктація аорти.


 	181	Хворий, 16 років, поступив у приймальне відділення зі скаргами на тривалу кровотечу із лунки екстрагованого зуба. Раніше відмічав підвищену кровоточивість при пошкодженнях, набряки суглобів. Дід по материнській лінії мав невстановлений геморагічний діатез. При обстеженні в аналізі крові: еритроцити 3,2х1012/л, гемоглобін 90	 г/л, кольоровий показник – 0,8, тромбоцити – 400х109/л, лейкоцити – 7,5х109/л, юні – 1%, паличкоядерні – 5%, сегментоядерні – 64%, лімфоцити – 30%, ШОЕ – 12 мм/год. Час згортання крові по Лі – Уайту – 14 хвилин. Фібріноген – 3 г/л, протромбіновий індекс – 90%. Яку коагулопатію слід запідозрити у пацієнта?
A	* Гемофілія А.
B	Гемофілія В.
C	Гемофілія С.
D	ДВЗ синдром.
E	Передозування антикоагулянтами.


 	182	Хворий, 24 років, звернувся до лікаря виявивши в себе збільшені підщелепні лімфовузли.  При подальшому обстеженні лікарем виявлені збільшені під пахвові та пахові лімфатичні  вузли. На рентгенограмі органів грудної клітки – збільшені лімфовузли середостіння. В аналізі крові: еритроцити 3,4х1012/л, гемоглобін 100 г/л, кольоровий показник – 0,88, тромбоцити – 190х109/л, лейкоцити – 7,5х109/л, еозинофіли – 8%, паличкоядерні – 2%, сегментоядерні – 67%, лімфоцити – 23%, ШОЕ – 22 мм/год. Яке дослідження показане для верифікації причини лімфаденопатії?
A	* Відкрита біопсія лімфатичних вузлів.
B	Ультразвукове дослідження органів черевної попрожнини
C	Томографія середостіння.
D	Пункційна біопсія лімфатичних вузлів.
E	Стернальна пункція.


 	183	Хворого, 44 років, протягом 20 років турбує кашель з гнійним харкотинням, задишка постійного характеру, важкість в правому підребер’ї, набряки, збільшення живота. Об’єктивно: дифузний ціаноз. В легенях жорстке дихання, розсіяні різного тембру сухі хрипи ЧД 36/хв. Тони серця ослаблені. АТ 150/90 мм рт.ст. Асцит. Печінка на 6 см нижче реберної дуги. На ЕКГ: синусова тахікардія, відхилення електричної осі вправо. Ознаки перевантаження правого передсердя. Якому ускладненню відповідають зміни на ЕКГ?
A	* Легеневе серце.
B	Ішемічна хвороба серця.
C	Артеріальна гіпертензія.
D	Серцева недостатність ІІ-Б.
E	Мітральний стеноз.


 	184	У Жінки, 42 років,при вставанні раптово потемніло в очах, з’явилась ядуха, відчула гострий біль в грудній клітці зліва, короткочасно втратила свідомість , тиждень тому оперована з приводу фіброміоми матки.Об-но: Шкіра бліда, ціаноз губ. ЧД 36/хв.,пульс 124/хв.,. АТ 85/50 мм рт.ст. Тони серця ослаблені. На Ro-грамі ОГК: вибухання легеневого конусу, За допомогою ЕхоКГ виявлена легенева гіпертензія (70 мм рт.ст.). Яка  причина підвищення тиску в легеневій артерії?
A	* Тромбоемболія мілких гілок легеневої артерії.
B	Астматичний напад.
C	Кардіальна астма
D	Гострий коронарний синдром.
E	Лівобічний сухий плеврит.


 	185	У хворого на кавернозний туберкульоз легень раптово виник біль у правій половині грудної клітки, сухий кашель, задишка. При огляді спостерігається дифузний ціаноз, розширення грудної клітки та міжреберних проміжків. Перкуторно справа тимпаніт, аускультативно – різко ослаблене везикулярне дихання. Яке ускладнення виникло у хворого?
A	* Пневмоторакс.
B	Тромбоемболія легеневої артерії.
C	Ексудативний плеврит.
D	Гемоторакс.
E	Пневмонія.


 	186	Хвора, 31 рік, поступила в клініку зі скаргами на біль в ділянці серця ниючого характеру, невеликої інтенсивності, який виникає внаслідок психичного перенавантаження і зменшується після прийому транквілізаторів. Біль супроводжується страхом, серцебиттям, головокружінням, відчуттям внутрішнього тремору. Об’єктивно: Стан задовільний. Симптомів порушення кровообігу немає. PS – 80/хв. АТ – 130/80 мм рт.ст. Серце не розширене, тони звучні, акценти відсутні. При ВЕМ–пробі ознак ішемії міокарду не виявлено. Лабораторні показники без змін. Який найбільш вірогідний діагноз?
A	* Нейроциркуляторна дистонія.
B	Міокардіт.
C	Міжреберна невралгія
D	Інфаркт міокарду.
E	Кардіоміопатія.


 	187	Чоловік, 47 років,  протягом 3-4 років скаржиться на біль в ділянці серця, який не знімається нітрогліцерином; задишку, кашель, серцебиття, набряки на ногах. Зловживає алкоголем. Об’єктивно: ортопное. Пульс 98/хв. Межі серця розширені вліво на 2 см. На верхівці серця І тон ослаблений, систолічний шум. В легенях вологі  хрипи над задньо-боковими відділами.Печінка на 5 см нижче  реберної дуги. Набряки на гомілках. ЕКГ: зниження вольтажу QRS, фібриляція передсердь, тахісистолічна форма. Визначте попередній діагноз.
A	* Алкогольна кардіоміопатія.
B	Хронічний необструктивний бронхіт.
C	Вогнищевий  міокардит.
D	Атеросклеротичний кардіосклероз.
E	Ревматична вада серця.


 	188	Хворий 32-х років звернувся з скаргами на перебої в роботі серця, запаморочення, задишку при фізичному навантаженні. До цього часу не хворів. Об-но: Ps- 74/хв., ритмічний. АТ- 130/80 мм рт.ст. При аускультації: перший тон нормальної звучності, систолічний шум над аортою. На ЕКГ: гіпертрофія лівого шлуночку, ознаки порушення реполяризації в I, V5, V6 відведеннях. ЭхоКГ: міжшлуночкова перетенка 2 см. Який найбільш вірогідний діагноз?
A	* Гіпертрофічна кардіоміопатія
B	Стеноз гирла аорти
C	Гіпертонічна хвороба
D	Інфаркт міокарду
E	Коарктація аорти


 	189	Хворий 37 років скаржиться на задишку при незначному фізичному навантаженні, напади інспіраторної задишки в горизонтальному положенні, набряки на ногах, біль в правому підребір”ї. Хворіє з дитинства. Об-но: пульс- 84/хв., ритмічний. АТ–130/80 мм.рт.ст. Права межа відносної тупості серця на 2,5 см зовні від грудини. При аускультації перший тон нормальної звучності, систолічний шум на легеневій артерії, по правому краю грудини. На ЕКГ – гіпертрофія правого шлуночку, ознаки блокади правої ніжки пучка Гіса. ЕхоКГ- гіпертрофія задньої стінки правого шлуночку до 1,5 см. Який найбільш імовірний діагноз?
A	* Стеноз легеневої артерії.
B	Гіпертрофічна кардіоміопатія.
C	Недостатність мітрального клапану.
D	Інфаркт міокарду.
E	Коарктація аорти.


 	190	Хворий 56 років скаржиться на пекучий біль за грудиною, що виникає при фізичному навантаженні, проходить через 2-3 хв. після прийому нітрогліцерину. В анамнезі бронхіальна астма. Об-но: стан задовільний.. Пульс-78 за 1 хв., ритмічний, АТ–130/80	мм.рт.ст. Над легенями жорстке дихання, видих подовжений, поодинокі сухі хрипи. Яке лікування найбільш доцільне в даному випадку?
A	* Нітросорбіт.
B	Пропранолол.
C	Сальбутамол.
D	Каптоприл.
E	Мілдронат.


 	191	У хворого 56 років на ІХС, СН II А періодично (2-3 рази на тиждень) виникають напади миготливої аритмії, які самостійно проходять, супроводжуються болем за грудиною. Об-но: стан задовільний.. Пульс- 82/хв., ритмічний, АТ–130/80 мм.рт.ст. Яке лікування найбільш доцільне в даному випадку для попередження нападів аритмії?
A	* Аміодарон.
B	Лідокаїн.
C	Новокаїнамід.
D	Дігоксин.
E	Ритмілен.


 	192	До травмпункту лікарні звернувся будівельник 38 років відразу після колотого поранення цвяхом стопи. При огляді стан задовільний, на підошві правої стопи колота рана. Встановлено, що протягом трьох останніх років тричі проводилась профілактика правця. Яка профілактика доцільна?
A	* В/м ввести 0,5 мл. правцевого анатоксину.
B	В/м ввести 3000 МО протиправцевої сироватки.
C	В/м ввести 1 мл. правцевого анатоксину, 3000 МО протиправцевої сироватки.
D	Призначити курс антибіотикотерапії.
E	Обробити рану мильним розчином.


 	193	Хворий 48 років на протязі 3 років відмічає підвищення артеріального тиску в межах 180/120–200/100 мм рт.ст. Гіпотензивна терапія малоефективна. Скарги на м'язову слабість, сухість у роті, поліурію, головний біль. Натрій плазми крові–155 ммоль/л, калій-3,6 ммоль/ь. Яка найбільш імовірна причина артеріальної гіпертензії.
A	* Первинний гіперальдостеронізм
B	Феохромоцитома
C	Гіпертонічна хвороба
D	Ниркова гіпертензія
E	Хвороба Іценка-Кушінга


 	194	У стаціонар доставлено хворого 52 років, який страждає дисемінованим туберкульозом легень зі скаргами на різкий біль в правій половині грудної клітини, яка з’явилась при підйомі на 3 поверх, кашель, задишку в спокої, виражений ціаноз. Про яке ускладнення слід подумати насамперед?
A	* Спонтанний пневмоторакс
B	Серцева недостатність
C	Легенева недостатність
D	Плеврит
E	Гострий інфаркт міокарда


 	195	Чоловік 60 років поступив у клініку зі скаргами на кашель з харкотинням та наявністю прожилків крові, підвищену пітливість, слабкість, підвищення температури тіла до 37,4оС градусів. 10 років назад переніс вогнищевий туберкульоз легень і був знятий з обліку. На рентгенограмі визначаються поліморфні вогнищеві тіні різних розмірів в обох легенях, які захоплюють верхні та середні відділи. В харкотинні знайдено одиничні МБТ. Назвіть правильно сформульований діагноз:
A	* Дисемінований туберкульоз легень, фаза загострення, МБТ (+), кровохаркання
B	Легенева кровотеча, вогнищевий туберкульоз легень у фазі інфільтрації
C	Саркоїдоз, друга стадія
D	Вогнищевий туберкульоз легень, фаза загострення, МБТ (+), кровохаркання
E	Міліарний туберкульоз легень в фазі інфільтрації, МБТ (+), легеневе кровохаркання


 	196	Хворий 46 рокiв, поступив у хірургічне вiддiлення зi скаргами на болi в епiгастральнiй дiлянцi одразу після прийому їжi. При рентгенологiчному обстеженнi підвищена кількість шлункового вмісту, в середнiй третинi тiла по малiй кривизнi визначається “нiша” розмiрами 0,4х0,6 см, оточена запальним валом, біль при пальпацiї черевної стінки в проекції “ніші”. Складки слизової потовщенi, звивистi. Перистальтика прискорена, евакуація вмісту шлунка не змінена. Який найбільш імовірний діагноз?
A	* Виразкова хвороба шлунка.
B	Рак тiла шлунка.
C	Дивертикул шлунка.
D	Хронiчний ерозивний гастрит.
E	Компенсований стеноз воротаря.


 	197	Хворий скаржиться на відчуття важкості за грудниною та періодичне відчуття зупинки їжі, дисфагію. При рентгенологічному обстеженні барієвий контраст виявляє поодиноке мішкоподібне випинання передньоправої стінки стравоходу з рівними контурами та чітко окресленою шийкою. Ваш діагноз.
A	* Дивертикул стравоходу.
B	Рак стравоходу.
C	Кила стравохідного отвору діафрагми.
D	Варикозне розширення вен стравоходу.
E	Поліп стравоходу.


 	198	У 25-річного хворого на спині на фоні загорілої шкіри з’явились множинні гіперпігментовані плями, при пошкрябуванні яких відмічається висівкоподібне злущення. Проба Бальцера позитивна.
A	* Різнокольоровий лишай.
B	Вітіліго.
C	Рожевий лишай.
D	Себорейний  дерматит.
E	Склеродермія.


 	199	До вас звернувся хворий зі скаргами на болючі ерозії на статевому члені. З анамнезу вияснено часту появу подібних висипів на протязі року. Об’єктивно: на головці статевого члена - згруповані пухирці і ерозії поліциклічних обрисів, з чіткими границями, м’які при пальпації.
A	* Рецидивуючий герпес.
B	Вульгарна пухирчатка.
C	Первинний сифіліс.
D	Шанкериформна піодермія.
E	Короста.


 	200	У хворого, який пов’язує початок свого захворювання з відрядженням, з’явились скарги на  висипку та свербіж, який посилюється у вечірній та нічний час і турбує на протязі 2-х тижнів. Об’єктивно: на бокових ділянках грудей, живота, в  міжпальцьових складках визначається папульозно-везікульозна висипка, яка розташована попарно.
A	* Короста.
B	Нейродерміт.
C	Свербець.
D	Екзема.
E	Таксидермія.


 	201	У дитини 2-х років з’явились скарги на висипку на слизовій оболонці  після тривалої антибіотикотерапії з приводу запалення легенів. Об’єктивно: на слизовій оболонці ротової порожнини, язиці, кутах рота - червоного кольору плями, вкриті білим нальотом, який легко знімається шпателем. Поставь діагнозі.
A	* Кандидоз слизових оболонок.
B	Справжня пухирчатка.
C	Багатоформна ексудативна еритема.
D	Лейкоплакія.
E	Стрептококове заїда.


 	202	У вагітної 25 років з обтяженим алергологічним анамнезом (поліноз) в терміні вагітності 28 тиж після стресової ситуації раптово з’явилось шумне свистяче дихання, задишка, ціаноз обличчя. При аускультації: над легенями дихання ослаблене, багато сухих свистячих хрипів; при перкуссії – коробковий звук. Після нападу у жінки віділилась невелика кількість тягучого харкотиння. Який найбільш ймовірний діагноз?
A	* Приступ бронхіальної астми.
B	Набряк легенів.
C	Обструктивний бронхіт.
D	Тромбоемболія легеневої артерії.
E	Загроза переривання вагітності.


 	203	Робітник С., 40 років, звернувся в поліклініку зі скаргами на швидку втомлюваність, епізодичні болі в животі, порушення сну. Півтори роки працює на приватному підприємстві  “Автосервіс” у цеху зарядки акумуляторів та вулканізації шин. Об’єктивно: тони серця приглушені, АТ – 140/70 мм.рт.ст., пульс 84 уд./хв., дихання везикулярне. Аналіз крові: Нв - 120 г/л., еритроцити - 4,0х1012/л, 35 0/00 еритроцитів з базофільною зернистістю, загальна кількість ретикулоцитів 2 0/00.  Аналіз сечі: питома вага – 1,018 г/см3., лейкоцити – 5 в полі зору, креатинін сечі – 300 мкг/г.  Визначіть професійну патологію та вкажіть, які лабораторні дослідження підтверджують її наявність.
A	* Хронічна свинцева інтоксикація (сатурнізм); базофільна зернистість еритроцитів та
	креатинін сечі.
B	Хронічна ртутна інтоксикація (меркуріалізм); креатинін сечі.
C	Карбокситоксикоз; рівень гемоглобіну в крові.
D	Цинкова інтоксикація; загальна кількість ретикулоцитів.
E	Хронічна свинцева інтоксикація (сатурнізм), скарги хворого.


 	204	Чоловік, 38 років. Вживає алкоголь на протязі 3 років. Через 3 дні після запою став відчувати тривогу, страх. Бачив навколо себе павуків, черв’яків, стали переслідувати „голоси” осудливого характеру, вів себе агресивно. У власній особі орієнтований вірно, в місці та часі – дезорієнтований. Який найбільш вірогідний діагноз хворого?
A	*Алкогольний делірій
B	Алкогольний параноїд
C	Алкогольний галюциноз
D	Алкогольна енцефалопатія
E	Патологічне сп’яніння


 	205	Жінка 28 років, скаржиться на відчуття нереальності, зміненності власного тіла. Коли стоїть перед дзеркалом, впізнає себе, але її руки, ноги, обличчя здаються їй чужими, що не належать їй. Який найбільш вірогідний психопатологічний розлад у хворої?
